iter	Passed	Remaining
262	48270	135268
263	48439	135043
264	48614	134835
265	48831	134746
266	49006	134538
267	49153	134254
268	49325	134040
269	49536	133932
270	49730	133777
271	49889	133526
272	50053	133291
273	50223	133072
274	50411	132901
275	50590	132708
276	50784	132553
277	50975	132390
278	51149	132182
279	51317	131959
280	51491	131753
281	51653	131515
282	51815	131278
283	51984	131060
284	52140	130808
285	52314	130603
286	52482	130382
287	52658	130184
288	52830	129975
289	53004	129769
290	53183	129577
291	53352	129361
292	53541	129193
293	53728	129022
294	53899	128811
295	54059	128572
296	54231	128365
297	54400	128152
298	54571	127942
299	54731	127707
300	54885	127457
301	55042	127218
302	55206	126993
303	55385	126803
304	55573	126634
305	55740	126418
306	55923	126237
307	56092	126026
308	56282	125862
309	56474	125700
310	56647	125498
311	56812	125279
312	56991	125089
313	57160	124879
314	57330	124670
315	57488	124436
316	57653	124219
317	57818	124000
318	58017	123855
319	58183	123640
320	58354	123435
321	58523	123226
322	58705	123046
323	58890	122871
324	59066	122676
325	59246	122491
326	59442	122339
327	59622	122153
328	59787	121936
329	59966	121750
330	60132	121537
331	60313	121353
332	60506	121194
333	60682	121002
334	60861	120815
335	61067	120680
336	61250	120501
337	61445	120346
338	61621	120153
339	61787	119941
340	61953	119729
341	62129	119535
342	62312	119355
343	62492	119171
344	62660	118964
345	62834	118767
346	63009	118573
347	63180	118372
348	63402	118267
349	63604	118123
350	63777	117925
351	63963	117751
352	64150	117579
353	64326	117386
354	64503	117195
355	64683	117012
356	64845	116795
357	65009	116581
358	65182	116383
359	65358	116193
360	65528	115991
361	65705	115800
362	65889	115624
363	66039	115387
364	66205	115178
365	66367	114964
366	66533	114757
367	66698	114547
368	66879	114366
369	67064	114191
370	67235	113992
371	67422	113820
372	67603	113639
373	67771	113435
374	67937	113229
375	68116	113044
376	68286	112845
377	68467	112662
378	68657	112496
379	68843	112324
380	69027	112147
381	69202	111955
382	69386	111778
383	69561	111588
384	69730	111387
385	69908	111201
386	70076	111000
387	70252	110811
388	70437	110635
389	70606	110435
390	70774	110234
391	70950	110046
392	71140	109878
393	71305	109672
394	71471	109469
395	71661	109301
396	71840	109118
397	72000	108905
398	72170	108707
399	72329	108494
400	72506	108307
401	72689	108129
402	72852	107922
403	73007	107703
404	73192	107529
405	73379	107357
406	73584	107212
407	73770	107039
408	73933	106833
409	74108	106644
410	74288	106462
411	74448	106251
412	74624	106064
413	74804	105882
414	74980	105694
415	75136	105479
416	75305	105283
417	75471	105082
418	75644	104891
419	75813	104694
420	76005	104529
421	76206	104377
422	76388	104198
423	76558	104004
424	76724	103803
425	76893	103608
426	77076	103430
427	77310	103321
428	77491	103140
429	77686	102979
430	77866	102798
431	78049	102621
432	78229	102439
433	78413	102262
434	78590	102077
435	78797	101931
436	78975	101746
437	79149	101557
438	79313	101355
439	79492	101172
440	79671	100989
441	79844	100799
442	80039	100636
443	80234	100474
444	80404	100279
445	80577	100089
446	80738	99884
447	80928	99715
448	81114	99541
449	81294	99359
450	81480	99186
451	81655	98998
452	81835	98816
453	82009	98627
454	82170	98424
455	82353	98246
456	82522	98052
457	82676	97839
458	82839	97639
459	83009	97445
460	83179	97252
461	83346	97056
462	83547	96900
463	83730	96723
464	83906	96538
465	84080	96349
466	84237	96142
467	84406	95949
468	84580	95762
469	84772	95594
470	84939	95399
471	85104	95201
472	85289	95026
473	85484	94862
474	85655	94671
475	85838	94494
476	86021	94316
477	86221	94158
478	86427	94005
479	86624	93842
480	86843	93704
481	87055	93557
482	87256	93398
483	87430	93211
484	87618	93038
485	87789	92847
486	87969	92665
487	88149	92484
488	88353	92328
489	88545	92159
490	88720	91973
491	88898	91789
492	89086	91616
493	89257	91426
494	89422	91229
495	89590	91035
496	89771	90854
497	89940	90662
498	90105	90466
499	90276	90276
500	90433	90072
501	90594	89872
502	90752	89669
503	90935	89492
504	91119	89314
505	91302	89137
506	91455	88930
507	91622	88736
508	91792	88546
509	91953	88347
510	92124	88158
511	92309	87982
512	92542	87852
513	92707	87657
514	92882	87472
515	93056	87285
516	93242	87110
517	93435	86941
518	93636	86780
519	93802	86586
520	93971	86395
521	94148	86212
522	94313	86017
523	94480	85825
524	94652	85638
525	94827	85453
526	95002	85267
527	95188	85092
528	95362	84906
529	95517	84703
530	95698	84525
531	95906	84369
532	96083	84186
533	96250	83993
534	96420	83805
535	96595	83619
536	96767	83432
537	96937	83244
538	97109	83056
539	97283	82870
540	97449	82678
541	97610	82483
542	97786	82299
543	97961	82114
544	98131	81926
545	98302	81738
546	98471	81549
547	98663	81379
548	98830	81188
549	98994	80995
550	99175	80815
551	99352	80633
552	99516	80441
553	99684	80251
554	99858	80067
555	100041	79889
556	100212	79702
557	100370	79505
558	100553	79327
559	100743	79155
560	100934	78984
561	101126	78813
562	101271	78606
563	101430	78411
564	101591	78216
565	101772	78037
566	101941	77849
567	102107	77659
568	102276	77471
569	102473	77304
570	102654	77125
571	102821	76936
572	102988	76747
573	103158	76560
574	103350	76389
575	103538	76215
576	103715	76033
577	103897	75856
578	104069	75670
579	104254	75494
580	104444	75322
581	104618	75138
582	104791	74953
583	104970	74773
584	105137	74584
585	105319	74406
586	105489	74219
587	105671	74042
588	105859	73867
589	106052	73697
590	106298	73563
591	106480	73385
592	106662	73206
593	106839	73024
594	107014	72841
595	107187	72657
596	107363	72474
597	107520	72279
598	107687	72091
599	107871	71914
600	108050	71734
601	108251	71568
602	108430	71387
603	108599	71200
604	108769	71014
605	108944	70831
606	109114	70645
607	109288	70462
608	109449	70270
609	109619	70084
610	109787	69897
611	109961	69714
612	110131	69528
613	110295	69338
614	110460	69149
615	110632	68965
616	110820	68791
617	111021	68624
618	111208	68449
619	111407	68282
620	111593	68105
621	111765	67921
622	111953	67747
623	112127	67563
624	112300	67380
625	112481	67201
626	112658	67020
627	112828	66834
628	113012	66657
629	113195	66479
630	113377	66301
631	113548	66116
632	113719	65932
633	113901	65753
634	114077	65572
635	114245	65385
636	114416	65201
637	114587	65016
638	114754	64829
639	114938	64653
640	115111	64469
641	115276	64282
642	115460	64104
643	115633	63921
644	115823	63747
645	116003	63568
646	116176	63385
647	116344	63199
648	116504	63009
649	116649	62811
650	116831	62633
651	117006	62451
652	117172	62264
653	117358	62088
654	117528	61904
655	117687	61713
656	117874	61538
657	118072	61368
658	118256	61192
659	118449	61019
660	118641	60846
661	118806	60659
662	118975	60474
663	119138	60286
664	119310	60103
665	119491	59925
666	119652	59736
667	119824	59553
668	119995	59370
669	120174	59190
670	120349	59009
671	120514	58822
672	120700	58646
673	120880	58467
674	121118	58316
675	121303	58139
676	121446	57942
677	121627	57763
678	121810	57586
679	121970	57398
680	122118	57203
681	122300	57025
682	122469	56841
683	122638	56657
684	122808	56473
685	122972	56287
686	123161	56112
687	123345	55935
688	123525	55756
689	123710	55580
690	123898	55404
691	124066	55220
692	124222	55030
693	124394	54848
694	124552	54659
695	124727	54478
696	124896	54294
697	125062	54109
698	125234	53927
699	125401	53743
700	125593	53570
701	125773	53391
702	125947	53209
703	126126	53030
704	126296	52847
705	126484	52672
706	126659	52491
707	126844	52314
708	127016	52132
709	127184	51948
710	127345	51762
711	127521	51581
712	127687	51397
713	127869	51219
714	128059	51044
715	128251	50870
716	128401	50680
717	128592	50505
718	128772	50326
719	128931	50140
720	129112	49961
721	129294	49783
722	129516	49621
723	129714	49449
724	129899	49272
725	130068	49089
726	130255	48912
727	130444	48737
728	130617	48556
729	130790	48374
730	130963	48193
731	131143	48014
732	131311	47830
733	131498	47654
734	131664	47470
735	131837	47289
736	131995	47102
737	132172	46923
738	132340	46739
739	132517	46560
740	132686	46377
741	132860	46196
742	133037	46017
743	133217	45838
744	133394	45658
745	133561	45475
746	133755	45301
747	133925	45119
748	134192	44969
749	134374	44791
750	134550	44611
751	134720	44429
752	134896	44248
753	135066	44066
754	135237	43884
755	135411	43704
756	135612	43532
757	135796	43354
758	135965	43172
759	136145	42993
760	136311	42809
761	136476	42626
762	136640	42442
763	136798	42257
764	136965	42074
765	137119	41887
766	137289	41705
767	137451	41521
768	137621	41340
769	137784	41156
770	137985	40984
771	138152	40801
772	138325	40620
773	138496	40439
774	138668	40258
775	138861	40083
776	139032	39902
777	139195	39718
778	139359	39535
779	139533	39355
780	139702	39174
781	139862	38989
782	140043	38811
783	140229	38634
784	140393	38451
785	140582	38275
786	140758	38096
787	140950	37920
788	141117	37738
789	141284	37556
790	141436	37370
791	141610	37190
792	141772	37007
793	141917	36819
794	142084	36638
795	142269	36461
796	142441	36280
797	142599	36096
798	142759	35913
799	142932	35733
800	143114	35555
801	143310	35381
802	143495	35203
803	143678	35026
804	143835	34842
805	144000	34660
806	144199	34486
807	144358	34302
808	144537	34124
809	144702	33942
810	144885	33764
811	145047	33582
812	145232	33405
813	145404	33225
814	145589	33048
815	145770	32869
816	145946	32690
817	146119	32510
818	146278	32327
819	146455	32148
820	146630	31969
821	146803	31789
822	146958	31605
823	147146	31429
824	147322	31250
825	147541	31080
826	147718	30901
827	147904	30724
828	148113	30551
829	148282	30371
830	148462	30192
831	148619	30009
832	148793	29830
833	148960	29649
834	149135	29469
835	149308	29290
836	149469	29108
837	149630	28926
838	149800	28745
839	149972	28566
840	150133	28384
841	150327	28208
842	150514	28031
843	150687	27852
844	150858	27672
845	151022	27491
846	151188	27310
847	151356	27129
848	151546	26953
849	151721	26774
850	151885	26593
851	152051	26412
852	152222	26232
853	152382	26051
854	152550	25871
855	152729	25692
856	152915	25515
857	153101	25338
858	153262	25157
859	153443	24979
860	153625	24801
861	153843	24629
862	153987	24445
863	154139	24262
864	154313	24083
865	154478	23903
866	154649	23723
867	154810	23542
868	154964	23360
869	155153	23183
870	155321	23004
871	155507	22826
872	155712	22652
873	155878	22472
874	156053	22293
875	156225	22114
876	156399	21935
877	156561	21754
878	156734	21575
879	156902	21395
880	157064	21215
881	157250	21038
882	157409	20857
883	157574	20677
884	157744	20497
885	157918	20319
886	158098	20141
887	158272	19962
888	158438	19782
889	158605	19602
890	158770	19423
891	158940	19243
892	159109	19064
893	159290	18886
894	159461	18707
895	159623	18527
896	159815	18351
897	159972	18170
898	160147	17992
899	160337	17815
900	160529	17638
901	160741	17464
902	160906	17284
903	161088	17106
904	161289	16930
905	161492	16755
906	161639	16573
907	161792	16393
908	161965	16214
909	162151	16036
910	162318	15857
911	162510	15680
912	162692	15502
913	162888	15326
914	163054	15147
915	163223	14968
916	163417	14791
917	163567	14610
918	163734	14431
919	163910	14253
920	164067	14073
921	164247	13895
922	164422	13716
923	164590	13537
924	164760	13358
925	164919	13179
926	165105	13001
927	165306	12825
928	165509	12649
929	165667	12469
930	165850	12291
931	165992	12111
932	166123	11929
933	166257	11748
934	166397	11567
935	166528	11386
936	166651	11204
937	166772	11023
938	166899	10842
939	167025	10661
940	167155	10480
941	167299	10300
942	167442	10121
943	167598	9942
944	167738	9762
945	167886	9583
946	168015	9403
947	168137	9222
948	168260	9042
949	168390	8862
950	168509	8682
951	168635	8502
952	168767	8323
953	168882	8143
954	169007	7963
955	169127	7784
956	169253	7604
957	169369	7425
958	169478	7245
959	169586	7066
960	169696	6886
961	169802	6707
962	169913	6528
963	170031	6349
964	170157	6171
965	170275	5993
966	170387	5814
967	170495	5636
968	170603	5457
969	170710	5279
970	170819	5101
971	170925	4923
972	171033	4746
973	171140	4568
974	171248	4390
975	171359	4213
976	171472	4036
977	171581	3859
978	171690	3682
979	171797	3506
980	171905	3329
981	172010	3152
982	172119	2976
983	172227	2800
984	172348	2624
985	172464	2448
986	172575	2273
987	172686	2097
988	172796	1921
989	172907	1746
990	173017	1571
991	173122	1396
992	173228	1221
993	173337	1046
994	173444	871
995	173551	696
996	173656	522
997	173769	348
998	173875	174
999	173983	0
